date,asset,score,alpha
2017-09-29,HYG,0.47535632034388314,0.014260689610316494
2017-09-29,GLD,-0.33057382904402,-0.0099172148713206
2017-09-29,DBC,-0.37622542395059366,-0.01128676271851781
2017-09-29,VNQ,-0.26027539634546315,-0.007808261890363894
2017-10-31,SPY,1.4639724657634852,0.043919173972904554
2017-10-31,QQQ,1.8708351491408488,0.056125054474225465
2017-10-31,IWM,2.106885143113747,0.06320655429341242
2017-10-31,EFA,1.4977110137097382,0.044931330411292145
2017-10-31,EEM,1.5985483218395011,0.04795644965518503
2017-10-31,TLT,-0.6738516367954615,-0.020215549103863844
2017-10-31,IEF,-0.5708048559239143,-0.017124145677717428
2017-10-31,SHY,-0.39285518469605096,-0.011785655540881528
2017-10-31,LQD,-0.12278822097420672,-0.0036836466292262016
2017-10-31,HYG,0.2987291789346853,0.00896187536804056
2017-10-31,GLD,-0.5020534289337717,-0.01506160286801315
2017-10-31,DBC,-0.2320164747922996,-0.006960494243768987
2017-10-31,VNQ,0.15768852961369906,0.004730655888410972
2017-11-30,SPY,1.0935614080970897,0.03280684224291269
2017-11-30,QQQ,2.226405939681049,0.06679217819043147
2017-11-30,IWM,0.7008843211558138,0.021026529634674412
2017-11-30,EFA,1.7534719810519421,0.05260415943155826
2017-11-30,EEM,2.3890577716420083,0.07167173314926024
2017-11-30,TLT,-0.16996667041834423,-0.005099000112550327
2017-11-30,IEF,-1.5006964846719735,-0.0450208945401592
2017-11-30,SHY,-1.689485888913207,-0.05068457666739621
2017-11-30,LQD,-0.09003738743605583,-0.0027011216230816747
2017-11-30,HYG,0.042587216765053226,0.0012776165029515967
2017-11-30,GLD,0.025667577702512934,0.000770027331075388
2017-11-30,DBC,-0.23710314473288985,-0.007113094341986695
2017-11-30,VNQ,-0.0443466399229987,-0.0013303991976899609
2017-12-29,SPY,1.1208608916020337,0.03362582674806101
2017-12-29,QQQ,2.1657722491813414,0.06497316747544024
2017-12-29,IWM,0.6917897792155983,0.020753693376467947
2017-12-29,EFA,1.6058962692348977,0.04817688807704693
2017-12-29,EEM,2.4964644030597753,0.07489393209179326
2017-12-29,TLT,0.04206266928703001,0.0012618800786109003
2017-12-29,IEF,-1.4258452354231195,-0.04277535706269358
2017-12-29,SHY,-1.6816183828972722,-0.05044855148691816
2017-12-29,LQD,-0.12572173551707433,-0.0037716520655122297
2017-12-29,HYG,-0.1476205167328294,-0.004428615501984881
