date,strategy,solver_status,solver_success,objective_value,full_weight_sum,risky_weight_sum,cash_weight,min_risky_weight,max_risky_weight,turnover,transaction_cost,constraint_valid,target_volatility_violation,predicted_volatility,target_volatility,covariance_estimator,cov_min_eigenvalue_before,cov_min_eigenvalue_after,cov_psd_repaired,alpha_scale,momentum_lookback_days,momentum_skip_days,trend_window_days,covariance_lookback_days,stress_ewma_span_days,stress_short_window_days,stress_reference_window_days,sigma_ewma_short,sigma_ew_63d,sigma_ew_252d,v_t,rho_t,rho_mode,market_state_mode,effective_target_volatility,target_volatility_mode,lambda_tc,eta_l2,fallback_used,robust_penalty,solver_time_seconds,risk_aversion
2015-02-27,Minimum Variance,optimal,True,0.0006364678667676944,1.0,1.0,0.0,3.346984163479479e-08,0.24999998017881886,0.02885656762639796,2.885656762639796e-05,True,0.0,0.025228314782555217,,sample,1.6112584193283844e-05,1.6112584193284606e-05,False,0.03,252,21,200,252,20,63,252,,0.06569860801875493,0.05515484077962954,1.1911666698713335,0.05955833349356668,dynamic,standard,,n/a,0.001,0.01,False,,0.0025502920000000096,
2015-02-27,Traditional MVO,optimal,True,0.19108298376120225,0.9999999999999999,0.9999999999999999,0.0,0.0,0.2499999995370412,0.028104321957230432,2.810432195723043e-05,True,0.0,0.07391857669333116,,sample,1.6112584193283844e-05,1.6112584193284606e-05,False,0.03,252,21,200,252,20,63,252,,0.06569860801875493,0.05515484077962954,1.1911666698713335,0.05955833349356668,dynamic,standard,,n/a,0.001,0.01,False,,0.0027965829999998526,1.0
2015-02-27,Proposed Strategy,optimal,True,0.037169034550879665,1.0,0.9999999995780287,4.219713449019262e-10,0.0,0.24999999982933813,0.10420306117209467,0.00010420306117209467,True,0.0,0.07738437079722232,0.10064488871234133,ewma,5.618741544359456e-06,5.618741544360206e-06,False,0.03,252,21,200,20,20,63,252,0.05480143252706117,0.06569860801875493,0.05515484077962954,0.9935924345429551,0.07948739476343641,dynamic,ewma,0.10064488871234133,inverse_vt,0.001,0.01,False,0.00615108203007895,0.004793084000000114,
2015-03-31,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.008189066166286132,8.189066166286133e-06,True,0.0,0.10071572872520723,,ewma,3.1764527965292345e-06,3.176452796528951e-06,False,0.03,252,21,200,20,20,63,252,,0.07717377969165058,0.06073067156779914,1.2707545907094822,0.06353772953547411,dynamic,standard,,n/a,0.001,0.01,False,,,
2015-03-31,Minimum Variance,optimal,True,0.0008100558391118159,1.0,1.0,0.0,2.6746392926085473e-08,0.24999996543261233,0.039532652627136275,3.953265262713627e-05,True,0.0,0.028461479917808487,,sample,1.649160321865076e-05,1.64916032186506e-05,False,0.03,252,21,200,252,20,63,252,,0.07717377969165058,0.06073067156779914,1.2707545907094822,0.06353772953547411,dynamic,standard,,n/a,0.001,0.01,False,,0.002547665999999893,
2015-03-31,Traditional MVO,optimal,True,0.18656130949522087,1.0,1.0,0.0,0.0,0.24999999996781716,0.008465596870722326,8.465596870722327e-06,True,0.0,0.08158260901840772,,sample,1.649160321865076e-05,1.64916032186506e-05,False,0.03,252,21,200,252,20,63,252,,0.07717377969165058,0.06073067156779914,1.2707545907094822,0.06353772953547411,dynamic,standard,,n/a,0.001,0.01,False,,0.002739000000000047,1.0
2015-03-31,Proposed Strategy,optimal,True,0.017098965166222477,1.0,0.6396779204361879,0.36032207956381207,0.0,0.24999999673090498,0.4859165898263582,0.00048591658982635825,True,4.6350315252574603e-10,0.06394252528328337,0.06394252481978022,ewma,3.1764527965292345e-06,3.176452796528951e-06,False,0.03,252,21,200,20,20,63,252,0.09497696836176932,0.07717377969165058,0.06073067156779914,1.5639044639204744,0.12511235711363797,dynamic,ewma,0.06394252481978022,inverse_vt,0.001,0.01,False,0.008000000057989983,0.004617083000000299,
2015-04-30,Equal Weight,,True,,1.0000000000000004,1.0000000000000004,0.0,0.07692307692307694,0.07692307692307694,0.013690266938687294,1.3690266938687295e-05,True,0.0,0.05944715950137564,,ewma,4.485508865615414e-06,4.485508865615614e-06,False,0.03,252,21,200,20,20,63,252,,0.07735045065848399,0.06109050257961006,1.2661616354798324,0.06330808177399162,dynamic,standard,,n/a,0.001,0.01,False,,,
2015-04-30,Minimum Variance,optimal,True,0.0008384450884401191,1.0,1.0,0.0,1.4800755380176336e-08,0.2499999809111943,0.02642579622832503,2.6425796228325032e-05,True,0.0,0.028955916294258748,,sample,1.581722620713629e-05,1.581722620713656e-05,False,0.03,252,21,200,252,20,63,252,,0.07735045065848399,0.06109050257961006,1.2661616354798324,0.06330808177399162,dynamic,standard,,n/a,0.001,0.01,False,,0.0025399999999997647,
2015-04-30,Traditional MVO,optimal,True,0.15580841514036756,1.0,1.0,0.0,0.0,0.24999999907310613,0.015469309712074528,1.546930971207453e-05,True,0.0,0.0806652816800706,,sample,1.581722620713629e-05,1.581722620713656e-05,False,0.03,252,21,200,252,20,63,252,,0.07735045065848399,0.06109050257961006,1.2661616354798324,0.06330808177399162,dynamic,standard,,n/a,0.001,0.01,False,,0.0027193749999998573,1.0
